,Unnamed: 0,Название,Рейтинг,Год,Режиссер,Жанр
0,0,Одинокий мужчина,7.6,2009,Том Форд,драма
3,3,Зеленая миля,8.6,1999,Фрэнк Дарабонт,драма
5,5,Побег из Шоушенка,9.3,1994,Фрэнк Дарабонт,драма
9,9,Бойцовский клуб,8.8,1999,Дэвид Финчер,драма
13,13,Бойцовский клуб,8.8,1999,Дэвид Финчер,драма
18,18,Форрест Гамп,8.8,1994,Роберт Земекис,драма
21,21,Титаник,7.8,1997,Джеймс Кэмерон,драма
28,28,Американская история X,8.5,1998,Тони Кэй,драма
35,35,Бойцовский клуб,8.8,1999,Дэвид Финчер,драма
36,36,Зеленая миля,8.6,1999,Фрэнк Дарабонт,драма
37,37,Побег из Шоушенка,9.3,1994,Фрэнк Дарабонт,драма
43,43,Форрест Гамп,8.8,1994,Роберт Земекис,драма
